address,auditResult,confidence,documentCount,evidenceCount,id,lastEvidenceAt,latitude,legacyId,longitude,mapReady,precision,publishReady,publishedAt,reviewed,sceneReady,sourceFinalUrl,sourceHttpStatus,sourceKind,sourceProbeError,sourceReachable,sourceUrl,state,territoryId,title,usefulnessLevel,usefulnessScore,reasons,warnings
,needs_review,low,1,1,evt_25d6774990e7be6987d137c4,2026-09-05T20:10:14Z,,,,False,territory,False,2026-09-05T16:45:22Z,False,False,https://t.me/ElabugaNK/46304,200,media,,True,https://t.me/ElabugaNK/46304,unknown,,Студент Елабужского института КФУ стал лауреатом стипендии Президента РФ,context,0,not_editorially_useful,
,needs_review,low,1,1,evt_879b4904526ec986fa2a79e3,2026-09-05T20:17:11Z,,,,False,territory,False,2026-09-05T16:38:54Z,False,False,https://t.me/chistopol_news/42024,200,media,,True,https://t.me/chistopol_news/42024,unknown,mo-92659000,С наступлением холодов риск респираторных инфекций возрастает. Люди старше 60 лет — в зоне особого риска: у них чаще развиваются тяжёлые осложнения.,context,0,not_editorially_useful,
,needs_review,low,1,1,evt_02e5a55bed4543a4a935fc79,2026-09-05T20:00:51Z,,,,False,territory,False,2026-09-05T16:32:35Z,False,False,https://t.me/tatmediaofficial/158635,200,media,,True,https://t.me/tatmediaofficial/158635,resolved,,Ак Барс» на казанском льду открыл сезон 2026/27 победой,context,59,not_editorially_useful,
Лаишево,ready,medium,1,2,evt_fdeea63cc81513d068f21f16,2026-09-05T19:33:15Z,55.4043358,,49.5468376,False,settlement,True,2026-09-05T16:13:00Z,False,False,https://laishevskyi.ru/news/novosti/v-laisevo-torzestvenno-otkryli-obnovlennyi-dvor,200,media,,True,https://laishevskyi.ru/news/novosti/v-laisevo-torzestvenno-otkryli-obnovlennyi-dvor,resolved,mo-92634101,В Лаишево торжественно открыли обновлённый двор,useful,79,,
,ready,medium,1,1,evt_b9b51b3838298c63a974d12d,2026-09-05T19:34:28Z,,,,False,territory,True,2026-09-05T15:32:56Z,False,False,https://t.me/tatmediaofficial/158634,200,media,,True,https://t.me/tatmediaofficial/158634,unknown,,В Татарстане открыт осенний сезон охоты на пернатую дичь,useful,79,,
,needs_review,low,1,1,evt_fb6a52a4c96f97b469272eb2,2026-09-05T19:32:04Z,,,,False,territory,False,2026-09-05T15:32:00Z,False,False,https://spas-rt.ru/news/sport/prepodavatel-spasskogo-texnikuma-otraslevyx-texnologii-polucila-zolotoi-znak-gto,200,media,,True,https://spas-rt.ru/news/sport/prepodavatel-spasskogo-texnikuma-otraslevyx-texnologii-polucila-zolotoi-znak-gto,unknown,mo-92632000,Преподаватель Спасского техникума отраслевых технологий получила золотой знак ГТО,context,0,not_editorially_useful,
,needs_review,medium,1,2,evt_29f8670ac7aa13b70b611834,2026-09-05T19:34:01Z,,,,False,territory,False,2026-09-05T15:08:59Z,False,False,https://t.me/atannary/29086,200,media,,True,https://t.me/atannary/29086,reported,mo-92608101,Пожар в частном доме в мкр Красноармейка Альметьевского района,context,30,not_editorially_useful,
,needs_review,low,1,1,evt_9addd4313722fb4595c2bd09,2026-09-05T19:32:00Z,,,,False,territory,False,2026-09-05T15:05:00Z,False,False,https://laishevskyi.ru/news/novosti/glava-laisevskogo-raiona-ildus-zaripov-otkryl-polosu-prepiatstvi,200,media,,True,https://laishevskyi.ru/news/novosti/glava-laisevskogo-raiona-ildus-zaripov-otkryl-polosu-prepiatstvi,reported,mo-92634000,Глава Лаишевского района Ильдус Зарипов открыл полосу препятствий,context,0,not_editorially_useful,
,needs_review,low,1,1,evt_5d4b1df9c1f051f30eea5bf7,2026-09-05T19:31:43Z,,,,False,territory,False,2026-09-05T15:03:16Z,False,False,https://t.me/agr_vesti/55807,200,media,,True,https://t.me/agr_vesti/55807,reported,mo-92601101,🐄 6 тысяч голов дойного стада 💰 5 миллиардов рублей инвестиций 📐 150 тысяч квадратных метров — общая площадь объекта 🌾 11 тысяч тонн сенажа уже заложено на хран,context,36,not_editorially_useful,
,needs_review,low,1,1,evt_8242104078dc4eb9acfaf99c,2026-09-05T19:31:44Z,,,,False,territory,False,2026-09-05T14:45:40Z,False,False,https://t.me/uvt24/32702,200,media,,True,https://t.me/uvt24/32702,reported,mo-92608000,Управляющая организация должна подготовить документ не позднее 30 дней после завершения работ и в течение пяти дней передать его председателю совета дома или чл,context,0,not_editorially_useful,
Менделеевск,ready,low,1,1,evt_a350a2f837c46a994ffac39c,2026-09-05T19:31:49Z,55.894251,,52.312064,False,settlement,True,2026-09-05T14:43:48Z,False,False,https://t.me/mndnews/80827,200,media,,True,https://t.me/mndnews/80827,resolved,mo-92639101,В Менделеевске официально открылся боксерский клуб «Барс»!,useful,79,,
Лаишево,needs_review,low,1,1,evt_d4ae7c8f7f25df0087f1d045,2026-09-05T19:31:48Z,55.4043358,,49.5468376,False,settlement,False,2026-09-05T14:35:41Z,False,False,https://t.me/novayakama/54843,200,media,,True,https://t.me/novayakama/54843,reported,mo-92634101,"Сегодня, в рамках празднования Дня города, состоялось торжественное открытие уникальной спортивной площадки на территории Гимназии №1.",context,20,not_editorially_useful,
,needs_review,low,1,1,evt_9ea6b77ee2be82f8e9a1d6a5,2026-09-05T19:31:47Z,,,,False,territory,False,2026-09-05T14:30:02Z,False,False,https://t.me/zainsknews/61070,200,media,,True,https://t.me/zainsknews/61070,reported,mo-92627000,Жителям Заинского района напомнили о номере единой службы спасения,context,0,not_editorially_useful,
,needs_review,medium,1,1,evt_41a9623fee4c2ca361233492,2026-09-05T19:35:09Z,,,,False,territory,False,2026-09-05T14:19:00Z,False,False,https://tulachi.ru/news/v-respublike/tatarstanda-ilkulam-proekt-buenca-svetoforlarny-modernizaciialau-eslare-togallande,200,media,,True,https://tulachi.ru/news/v-respublike/tatarstanda-ilkulam-proekt-buenca-svetoforlarny-modernizaciialau-eslare-togallande,reported,mo-92656000,В Татарстане завершена модернизация светофоров по нацпроекту,context,16,not_editorially_useful,
,needs_review,low,1,1,evt_52f5fb675953917b218186cf,2026-09-05T19:31:53Z,,,,False,territory,False,2026-09-05T14:18:06Z,False,False,https://t.me/chelnytv/46190,200,media,,True,https://t.me/chelnytv/46190,reported,mo-92730000,Подробности пожара в термальном комплексе Челнов,context,20,not_editorially_useful,
,needs_review,low,1,1,evt_fc0b3cf842ac7234423a82dd,2026-09-05T19:31:48Z,,,,False,territory,False,2026-09-05T14:09:01Z,False,False,https://t.me/kukmor_tatarstan/56205,200,media,,True,https://t.me/kukmor_tatarstan/56205,unknown,mo-92633000,Какие льготы доступны автомобилистам Татарстана в 2026 году?,context,16,not_editorially_useful,
,needs_review,low,1,1,evt_18a446ae304607297518373d,2026-09-05T19:31:46Z,,,,False,territory,False,2026-09-05T14:06:56Z,False,False,https://t.me/buinsknews/47243,200,media,,True,https://t.me/buinsknews/47243,reported,mo-92618000,Ученики Центра внешкольной работы совершили производственную экскурсию на Буинский моторный завод,context,36,not_editorially_useful,
,ready,low,1,1,evt_729418f96b157eddee8534ff,2026-09-05T19:31:48Z,,,,False,territory,True,2026-09-05T14:04:59Z,False,False,https://t.me/novosti_mamadysha/63928,200,media,,True,https://t.me/novosti_mamadysha/63928,reported,mo-92638000,"В Мамадышском районе продолжаются масштабные дорожные работы. Одна из ключевых точек приложения сил подрядчиков сегодня — это посёлок Сервеный. Здесь на улице Юлии Запольской дорожники приступили к важному этапу строительства. И этот объект — не просто очередной километр асфальта, а настоящий путь к новым домам для многодетных семей.",useful,89,,
,needs_review,low,1,1,evt_7929ade4d77c9deb7dd41334,2026-09-05T19:31:50Z,,,,False,territory,False,2026-09-05T14:04:01Z,False,False,https://t.me/smi_menzela/28822,200,media,,True,https://t.me/smi_menzela/28822,reported,mo-92640000,Учителя обсудили итоги экзаменов и планы на новый учебный годВ ра,context,16,not_editorially_useful,
,needs_review,low,1,1,evt_8aeb97d38ba04abb840048ec,2026-09-05T19:32:02Z,,,,False,territory,False,2026-09-05T14:00:00Z,False,False,https://nurlat-tat.ru/news/pogoda/ozidaiutsia-usilenie-vetra-i-grozy,200,media,,True,https://nurlat-tat.ru/news/pogoda/ozidaiutsia-usilenie-vetra-i-grozy,planned,mo-92701000,Ожидаются усиление ветра и грозы,context,20,not_editorially_useful,
,needs_review,low,1,1,evt_ea303524552d5859dcda877f,2026-09-05T19:31:57Z,,,,False,territory,False,2026-09-05T14:00:00Z,False,False,https://vuslon.ru/news/obschestvo/v-tatarstane-razrabotali-pervyi-proekt-rekultivacii-narusennyx-selxozzemel,200,media,,True,https://vuslon.ru/news/obschestvo/v-tatarstane-razrabotali-pervyi-proekt-rekultivacii-narusennyx-selxozzemel,unknown,mo-92620000,В Татарстане разработали первый проект рекультивации нарушенных сельхозземель,context,0,not_editorially_useful,
,ready,low,1,1,evt_60648077e15a57ef08b1e357,2026-09-05T19:31:46Z,,,,False,territory,True,2026-09-05T13:58:37Z,False,False,https://t.me/drozzanoe90/20812,200,media,,True,https://t.me/drozzanoe90/20812,reported,mo-92617412,"Новый знак представят позже, когда завершат все формальности.",useful,79,,
,needs_review,low,1,1,evt_da4bcf9d79bf8bbdfd087814,2026-09-05T19:31:52Z,,,,False,territory,False,2026-09-05T13:45:11Z,False,False,https://t.me/chelny_news1/48674,200,media,,True,https://t.me/chelny_news1/48674,reported,mo-92626432,Улетел в кювет: в Татарстане водитель Chery погиб в ДТП,context,30,not_editorially_useful,
,needs_review,low,1,1,evt_94579c8a9e6b9d736ceb1f8d,2026-09-05T19:31:47Z,,,,False,territory,False,2026-09-05T13:38:22Z,False,False,https://t.me/ElabugaNK/46296,200,media,,True,https://t.me/ElabugaNK/46296,reported,mo-92626432,Смертельное ДТП произошло в Елабужском районе,context,20,not_editorially_useful,
,needs_review,low,1,1,evt_37914c2b7f16a216e991e51c,2026-09-05T19:32:05Z,,,,False,territory,False,2026-09-05T13:20:00Z,False,False,https://yutazy.ru/news/pogoda/stormovoe-preduprezdenie-v-tatarstane,200,media,,True,https://yutazy.ru/news/pogoda/stormovoe-preduprezdenie-v-tatarstane,reported,mo-92654000,Штормовое предупреждение в Татарстане,context,24,not_editorially_useful,
,needs_review,medium,1,1,evt_4f65c41555969a19fa761198,2026-09-05T19:35:30Z,,,,False,territory,False,2026-09-05T13:20:00Z,False,False,https://atnya-rt.ru/news/khbrlr/2026-elda-avtomobilcelar-taslamalardan-ham-subsidiialardan-faidalana-ala,200,media,,True,https://atnya-rt.ru/news/khbrlr/2026-elda-avtomobilcelar-taslamalardan-ham-subsidiialardan-faidalana-ala,reported,mo-92613000,В Татарстане при покупке нового автомобиля доступны скидки и субсидии,context,0,not_editorially_useful,
,needs_review,low,1,1,evt_d411f743b469bb03f1388b65,2026-09-05T19:31:46Z,,,,False,territory,False,2026-09-05T13:05:03Z,False,False,https://t.me/bugulgazeta/58370,200,media,,True,https://t.me/bugulgazeta/58370,reported,mo-92617101,В колледже Бугульмы состоялся диктант безопасности,context,20,not_editorially_useful,
,needs_review,low,1,1,evt_94c665b1594bb47efa69571c,2026-09-05T19:31:52Z,,,,False,territory,False,2026-09-05T13:03:59Z,False,False,https://t.me/chistopol_news/42021,200,media,,True,https://t.me/chistopol_news/42021,resolved,mo-92659000,"Завхоз общежития напомнила о тишине после 23:00, бережном отношении к ремонту и чистоте в комнатах.",context,59,not_editorially_useful,
,needs_review,low,2,2,evt_209dee7a9e0b96a362e9df38,2026-09-05T19:32:03Z,,,,False,territory,False,2026-09-05T13:03:38Z,False,False,https://rsloboda-rt.ru/news/obschestvo-i-myi/malcik-pogib-v-pozare-poka-rodstvennica-byla-v-dome,200,media,,True,https://rsloboda-rt.ru/news/obschestvo-i-myi/malcik-pogib-v-pozare-poka-rodstvennica-byla-v-dome,reported,mo-92650000,"Мальчик погиб в пожаре, пока родственница была в доме",context,20,not_editorially_useful,
,needs_review,low,1,1,evt_72c53eee2081a3ba33da2689,2026-09-05T19:31:50Z,,,,False,territory,False,2026-09-05T13:02:02Z,False,False,https://t.me/nurlatinform/82277,200,media,,True,https://t.me/nurlatinform/82277,unknown,mo-92646000,В Нурлате началась ежегодная кампания по сбору гушр-садаки.,context,20,not_editorially_useful,
,ready,low,1,1,evt_3daadae8f826d0b69acaae0a,2026-09-05T19:31:48Z,,,,False,territory,True,2026-09-05T13:00:01Z,False,False,https://t.me/novayakama/54835,200,media,,True,https://t.me/novayakama/54835,resolved,mo-92634101,В Лаишевском районе после капитального ремонта открылся детский сад «Карлыгач» и фельдшерско-акушерский пункт,useful,87,,
,needs_review,low,1,1,evt_13965122c5c69a52ca259f0a,2026-09-05T19:31:59Z,,,,False,territory,False,2026-09-05T13:00:00Z,False,False,https://zpravda.ru/news/bezopasnost-na-dorogax/smertelnaia-avariia-proizosla-v-elabuzskom-raione-voditel-cherry-pogib,200,media,,True,https://zpravda.ru/news/bezopasnost-na-dorogax/smertelnaia-avariia-proizosla-v-elabuzskom-raione-voditel-cherry-pogib,reported,mo-92628101,Смертельная авария произошла в Елабужском районе: водитель Cherry погиб,context,30,not_editorially_useful,
,needs_review,low,1,1,evt_9558071f489685b7f8a4f8a6,2026-09-05T19:31:57Z,,,,False,territory,False,2026-09-05T12:55:00Z,False,False,https://buinsk-tat.ru/news/vchera-segodnya-zavtra/uceniki-buinska-soversili-proizvodstvennuiu-ekskursiiu-na-buinskii-motornyi-zavod,200,media,,True,https://buinsk-tat.ru/news/vchera-segodnya-zavtra/uceniki-buinska-soversili-proizvodstvennuiu-ekskursiiu-na-buinskii-motornyi-zavod,reported,mo-92618101,Ученики Буинска совершили производственную экскурсию на Буинский моторный завод,context,36,not_editorially_useful,
,needs_review,low,1,1,evt_2d28fa2dc10f0414b5503f44,2026-09-05T19:31:47Z,,,,False,territory,False,2026-09-05T12:25:02Z,False,False,https://t.me/zainsknews/61068,200,media,,True,https://t.me/zainsknews/61068,reported,mo-92627000,Перепланировку квартиры необходимо согласовать заранее,context,20,not_editorially_useful,
Лаишево,ready,medium,1,2,evt_a3d3056e96ede017931feb60,2026-09-05T19:36:20Z,55.4043358,,49.5468376,False,settlement,True,2026-09-05T12:24:07Z,False,False,https://t.me/novayakama/54828,200,media,,True,https://t.me/novayakama/54828,resolved,mo-92634101,В Лаишево открыли новое пространство во дворе на улице Сайдашева,useful,79,,
,needs_review,low,1,1,evt_ae677b3ca6398cab944bbb7e,2026-09-05T19:31:50Z,,,,False,territory,False,2026-09-05T12:08:16Z,False,False,https://t.me/pestresy/48396,200,media,,True,https://t.me/pestresy/48396,reported,mo-92648000,"Жители Татарстана могут воспользоваться льготами и получить субсидии на приобретение нового автомобиля и иные расходы, связанные с машинами. Подробнее об этом – в материале «Татар-информа».",context,16,not_editorially_useful,
,ready,medium,1,2,evt_2e6d13f62bb2f920ef059e56,2026-09-05T19:37:26Z,,,,False,territory,True,2026-09-05T11:37:39Z,False,False,https://t.me/yakti_ul/31342,200,media,,True,https://t.me/yakti_ul/31342,reported,mo-92657000,В Большой Шильне приостановили дорожный ремонт,useful,87,,
,needs_review,medium,1,1,evt_8df5fe5500ee178386967d30,2026-09-05T19:38:33Z,,,,False,territory,False,2026-09-05T11:35:11Z,False,False,https://t.me/TulInformm/35590,200,media,,True,https://t.me/TulInformm/35590,reported,mo-92656000,"В Агерже, Буе, Кукморе и Минзеле построили новые школы, в Бугульме — два дополнительных корпуса",context,59,not_editorially_useful,
,needs_review,low,1,1,evt_329acac78ae68782ca4e74b1,2026-09-05T19:31:52Z,,,,False,territory,False,2026-09-05T11:30:12Z,False,False,https://t.me/chelny_news1/48665,200,media,,True,https://t.me/chelny_news1/48665,reported,mo-92730000,Но сейчас уголовное дело пойдет по новому кругу.,context,36,not_editorially_useful,
,needs_review,low,1,1,evt_6d73cf85667e5a1cdcb49687,2026-09-05T19:31:51Z,,,,False,territory,False,2026-09-05T11:20:20Z,False,False,https://t.me/yakti_ul/31338,200,media,,True,https://t.me/yakti_ul/31338,reported,mo-92657000,"СЕРИЯ 2: Когда тебе платят больше, чем ты зарабатывал за неделю, мозг отключается. Но даже в сети у каждого действия есть последствия. И папин звонок — это лишь начало.",context,0,not_editorially_useful,
Камское Устье,needs_review,low,1,1,evt_54f652e7e604656c9a54ed7e,2026-09-05T19:31:48Z,55.2015629,,49.2680082,False,settlement,False,2026-09-05T11:19:01Z,False,False,https://t.me/volzhskie/36103,200,media,,True,https://t.me/volzhskie/36103,reported,mo-92630151,"А в конце девяностых, после развала страны, семья принимает непростое решение и переезжает в Камское Устье, начав жизнь заново.",context,36,not_editorially_useful,
,needs_review,medium,1,2,evt_ce92c5d59a7490d615fa13a1,2026-09-05T19:39:26Z,,,,False,territory,False,2026-09-05T11:04:32Z,False,False,https://t.me/xezmet_gazetasi/59781,200,media,,True,https://t.me/xezmet_gazetasi/59781,reported,mo-92615430,В Норма деревне пьяную водительницу лишили прав и оштрафовали,context,20,not_editorially_useful,
,needs_review,medium,1,2,evt_16b7403f1588c734a544b0bf,2026-09-05T19:40:14Z,,,,False,territory,False,2026-09-05T11:01:46Z,False,False,https://t.me/muslumirc/44307,200,media,,True,https://t.me/muslumirc/44307,reported,mo-92642480,Здание пожарно-спасательного подразделения открыли после капремонта,context,59,not_editorially_useful,
,needs_review,low,1,1,evt_4c90be29e3d541c94527a87a,2026-09-05T19:31:47Z,,,,False,territory,False,2026-09-05T11:00:56Z,False,False,https://t.me/zpravda/108617,200,media,,True,https://t.me/zpravda/108617,unknown,mo-92628101,"Диспансеризация кардинально отличается от обычного профосмотра. Это расширенный комплекс, нацеленный на глубокий онкоскрининг и оценку сердечно-сосудистых рисков. Диспансеризация проводится абсолютно бесплатно по полису ОМС. Программа постоянно расширяется.",context,0,not_editorially_useful,
,needs_review,low,1,1,evt_a554ee67fb4448ecf53d6c69,2026-09-05T19:31:51Z,,,,False,territory,False,2026-09-05T11:00:45Z,False,False,https://t.me/rusloboda/35355,200,media,,True,https://t.me/rusloboda/35355,reported,mo-92617412,В России появится специальный дорожный знак для парковки многодетных семей,context,20,not_editorially_useful,
,needs_review,medium,1,2,evt_78a42482ff4dcf9775aa3cf1,2026-09-05T19:40:45Z,,,,False,territory,False,2026-09-05T11:00:00Z,False,False,https://muslumirc.ru/news/bairamnar/37-eldan-son-kotelgan-bulak-iangyn-sunderucelarnen-binasy-kapital-remonttan-son-acyldy,200,media,,True,https://muslumirc.ru/news/bairamnar/37-eldan-son-kotelgan-bulak-iangyn-sunderucelarnen-binasy-kapital-remonttan-son-acyldy,reported,mo-92642480,Открыто здание пожарно-спасательного подразделения после капитального ремонта,context,59,not_editorially_useful,
,needs_review,low,1,1,evt_bbc38dd9988387354e801771,2026-09-05T19:32:03Z,,,,False,territory,False,2026-09-05T11:00:00Z,False,False,https://rsloboda-rt.ru/news/obschestvo-i-myi/prokuratura-cerez-sud-vosstanovila-pravo-siroty-na-zile,200,media,,True,https://rsloboda-rt.ru/news/obschestvo-i-myi/prokuratura-cerez-sud-vosstanovila-pravo-siroty-na-zile,unknown,mo-92628101,Прокуратура через суд восстановила право сироты на жильё,context,20,not_editorially_useful,
,needs_review,low,1,1,evt_49e7b7a47ad67429b410808f,2026-09-05T19:32:03Z,,,,False,territory,False,2026-09-05T10:15:00Z,False,False,https://rsloboda-rt.ru/news/obschestvo-i-myi/v-tatarstane-otkryli-sezon-oxoty-na-vodoplavaiushhuiu-i-borovuiu-dic,200,media,,True,https://rsloboda-rt.ru/news/obschestvo-i-myi/v-tatarstane-otkryli-sezon-oxoty-na-vodoplavaiushhuiu-i-borovuiu-dic,resolved,mo-92650000,В Татарстане открыли сезон охоты на водоплавающую и боровую дичь,context,59,not_editorially_useful,
,needs_review,low,1,1,evt_ee29671372d3f5eaf836a810,2026-09-05T19:31:47Z,,,,False,territory,False,2026-09-05T10:04:39Z,False,False,https://t.me/zpravda/108612,200,media,,True,https://t.me/zpravda/108612,resolved,mo-92628101,Отказ ➡️ Иск ➡️ Суд ➡️ Победа,context,0,not_editorially_useful,
Лениногорск,needs_review,medium,1,2,evt_58c4a023cb810d9ced56a2af,2026-09-05T19:41:52Z,54.5994324,,52.4469099,False,settlement,False,2026-09-05T10:04:03Z,False,False,https://t.me/zamansulyshy/17384,200,media,,True,https://t.me/zamansulyshy/17384,reported,mo-92636101,Лениногорскида маркировкасыз җиләк-җимеш һәм яшелчә саткан оешмага штраф салынган,context,0,not_editorially_useful,
,ready,low,1,1,evt_32dbaacd8a8a9f6d30c01b0e,2026-09-05T19:31:50Z,,,,False,territory,True,2026-09-05T10:02:01Z,False,False,https://t.me/nurlatinform/82265,200,media,,True,https://t.me/nurlatinform/82265,reported,mo-92646460,"✅ Отремонтировали дороги в Новом Иглайкине, Некрасовке, Светлом Озере.",useful,97,,
,needs_review,low,1,1,evt_3fa3814e54267487775b7054,2026-09-05T19:32:04Z,,,,False,territory,False,2026-09-05T10:02:00Z,False,False,https://chelny-izvest.ru/news/facts/socialnyi-fond-tatarstana-zakupit-smartfony-dlia-invalidov-na-13-mln-rublei,200,media,,True,https://chelny-izvest.ru/news/facts/socialnyi-fond-tatarstana-zakupit-smartfony-dlia-invalidov-na-13-mln-rublei,unknown,mo-92730000,Социальный фонд Татарстана закупит смартфоны для инвалидов на 13 млн рублей,context,50,not_editorially_useful,
,needs_review,low,1,1,evt_342a9ef88d45a20560f1f44b,2026-09-05T19:31:43Z,,,,False,territory,False,2026-09-05T10:00:01Z,False,False,https://t.me/tatmediaofficial/158614,200,media,,True,https://t.me/tatmediaofficial/158614,resolved,,Подготовка социальных объектов к отопительному сезону полностью завершена.,context,0,not_editorially_useful,
,needs_review,low,1,1,evt_ef35bbbbb6232f2b2b592d88,2026-09-05T19:31:50Z,,,,False,territory,False,2026-09-05T09:54:01Z,False,False,https://t.me/smi_menzela/28816,200,media,,True,https://t.me/smi_menzela/28816,reported,mo-92640000,Лоси становятся непредсказуемыми в период гонаС ко,context,0,not_editorially_useful,
,needs_review,low,1,1,evt_cea9cc81e6210c2bbfc44aa0,2026-09-05T19:31:53Z,,,,False,territory,False,2026-09-05T09:46:40Z,False,False,https://t.me/chelnytv/46187,200,media,,True,https://t.me/chelnytv/46187,reported,mo-92730000,Что говорят очевидцы пожара ⬆️,context,0,summary_too_short|not_editorially_useful,
,needs_review,low,1,1,evt_e31bf47d9175eaf9ddfc56bb,2026-09-05T19:31:59Z,,,,False,territory,False,2026-09-05T09:40:00Z,False,False,https://zainsk-inform.ru/news/obschestvo/gulfaniia-pereexala-v-kus-elgu-vyrastila-detei-i-dozila-do-pocetnoi-starosti,200,media,,True,https://zainsk-inform.ru/news/obschestvo/gulfaniia-pereexala-v-kus-elgu-vyrastila-detei-i-dozila-do-pocetnoi-starosti,unknown,mo-92627000,"Гульфания: переехала в Куш-Елгу, вырастила детей и дожила до почётной старости",context,20,not_editorially_useful,
,ready,low,1,1,evt_911ee2921bf2a6471b37b66c,2026-09-05T19:32:05Z,,,,False,territory,True,2026-09-05T09:37:29Z,False,False,https://t.me/kzn_official/23612,200,official,,True,https://t.me/kzn_official/23612,resolved,mo-92701000,Открыли Центр кикбоксинга и Центр регби.,useful,87,,
